d06505b,Rizki Alfi Ramdhani,3 minutes ago,add readme
06655b5,Rizki Alfi Ramdhani,13 minutes ago,feat(detail competition): tab matches feature
9e7fe27,Rizki Alfi Ramdhani,2 hours ago,feat(detail competition): page detail competition (tab standing features), WIP tab matches
7c9b445,Rizki Alfi Ramdhani,17 hours ago,feat(detail competition): make models, make repository, inject them in main & app for standings and matches endpoint
f27c7dc,Rizki Alfi Ramdhani,24 hours ago,feat(landing screen): landing screen to load list of competition, init page detail screen and the tab of detail screen
142d4c1,Rizki Alfi Ramdhani,2 days ago,feat(foundation): init foundation of the app
1f89e63,Rizki Alfi Ramdhani,2 days ago,feat(initial app): initial app
817ea17,Rizki Alfi Ramdhani,2 days ago,Initial commit
